,graph,partitioner,partitioning_time,num_partitions,replication_factor,num_vertices,num_edges,counted_edges,num_replicas,edge_balance,vertex_balance,destination_balance,source_balance,1dd,1ds,2d,2ps,crvc,dbh,dummy,hdrf,hep1,hep10,hep100,ne,density,num_connected_triples,pearson_moment_degrees,pearson_median_degrees,pearson_mode_degrees,pearson_moment_degrees_in,pearson_median_degrees_in,pearson_mode_degrees_in,pearson_moment_degrees_out,pearson_median_degrees_out,pearson_mode_degrees_out,max_degree,max_degree_in,max_degree_out,mean_degree,mean_degree_in,mean_degree_out,pearson_moment_triangles,pearson_median_triangles,pearson_mode_triangles,num_triangles,max_triangles,mean_triangles,pearson_moment_lcc,pearson_median_lcc,pearson_mode_lcc,max_lcc,average_lcc,global_cc,num_edges_undirected_representation,average_lcc_triangle_based,max_lcc_triangle_based
0,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,dbh,91.86999,4,1.890396,37073640,400000000,400000000,70083855.0,1.000226,1.0001360000000001,1.0001440000000001,1.000169,0,0,0,0,0,1,0,0,0,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
1,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,ne,481.553091,4,1.451877,37073640,400000000,400000000,53826354.0,1.0,1.996584,1.959525,1.615639,0,0,0,0,0,0,0,0,0,0,0,1,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
2,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,hep100,497.010626,4,1.452532,37073640,400000000,400000000,53850632.0,1.0,1.995577,1.958447,1.61519,0,0,0,0,0,0,0,0,0,0,1,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
3,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,2d,100.957233,4,2.36787,37073640,400000000,400000000,87785542.0,1.0050780000000001,1.233336,1.0033290000000001,1.010207,0,0,1,0,0,0,0,0,0,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
4,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,crvc,98.824334,4,2.887009,37073640,400000000,400000000,107031914.0,1.000566,1.000337,1.000415,1.000099,0,0,0,0,1,0,0,0,0,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
5,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,hep1,220.999606,4,1.6659130000000002,37073640,400000000,400000000,61761454.0,1.0,1.2272610000000002,1.240699,1.1901760000000001,0,0,0,0,0,0,0,0,1,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
6,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,hdrf,130.245599,4,1.83454,37073640,400000000,400000000,68013089.0,1.0,1.0033,1.003277,1.0054239999999999,0,0,0,0,0,0,0,1,0,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
7,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,1dd,106.149829,4,2.322734,37073640,400000000,400000000,86112186.0,1.00027,1.0001010000000001,1.0000129999999998,1.000135,1,0,0,0,0,0,0,0,0,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
8,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,hep10,412.34871400000003,4,1.656784,37073640,400000000,400000000,61423013.0,1.0,1.691228,1.656079,1.45281,0,0,0,0,0,0,0,0,0,1,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
9,/home/ubuntu/cephstorage/graphs/ml-processing-small/rmat-400000000-40000000-0.35-0.26-0.34,2ps,486.538737,4,1.727583,37073640,400000000,400000000,64047800.0,1.0000209999999998,1.392155,1.384468,1.41811,0,0,0,1,0,0,0,0,0,0,0,0,2.9102399999999997e-07,94958700000.0,35.8468,0.595526,0.30084299999999997,6.2238,0.907701,0.618442,49.6549,0.476362,0.194919,26934,1323,25946,21.5787,10.7893,10.7893,622.097,0.08801289999999999,0.0293376,763871.0,3890,0.0618125,201.713,0.0531956,0.017731900000000002,1,6.43416e-05,2.41327e-05,399997117,6.43416e-05,1
