graph,partitioner,num_partitions,replication_factor,counted_edges,num_replicas,edge_balance,vertex_balance,destination_balance,source_balance,num_vertices,num_edges,density,num_connected_triples,pearson_moment_degrees,pearson_median_degrees,pearson_mode_degrees,pearson_moment_degrees_in,pearson_median_degrees_in,pearson_mode_degrees_in,pearson_moment_degrees_out,pearson_median_degrees_out,pearson_mode_degrees_out,max_degree,max_degree_in,max_degree_out,mean_degree,mean_degree_in,mean_degree_out,pearson_moment_triangles,pearson_median_triangles,pearson_mode_triangles,num_triangles,max_triangles,mean_triangles,pearson_moment_lcc,pearson_median_lcc,pearson_mode_lcc,max_lcc,average_lcc,global_cc,num_edges_undirected_representation,average_lcc_triangle_based,max_lcc_triangle_based,synthetic,graph_type,origin,1dd,1ds,2d,2ps,crvc,dbh,hdrf,hep1,hep10,hep100,ne
out.wikipedia_link_sa,hep1,64,5.214886,3720051.0,113575.0,1.000003,1.679243,2.087612,1.665197,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,0,1,0,0,0
out.wikipedia_link_sa,hep1,32,3.121218,3720051.0,67977.0,1.000003,1.650441,1.865154,1.649156,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,0,1,0,0,0
out.wikipedia_link_sa,hep1,8,1.795675,3720051.0,39108.0,1.000001,1.46323,1.606626,1.411986,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,0,1,0,0,0
out.wikipedia_link_sa,2d,128,7.118968,3720051.0,155044.0,1.049104,1.166533,1.414527,1.248982,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,1,0,0,0,0,0,0,0,0
out.wikipedia_link_sa,ne,64,2.267919,3720051.0,49393.0,41.450339,10.715688,8.34019,10.521525,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,0,0,0,0,1
out.wikipedia_link_sa,hep100,16,1.200606,3720051.0,26148.0,10.290814,11.988986,10.563066,11.967628,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,0,0,0,1,0
out.wikipedia_link_sa,hep100,4,1.120667,3720051.0,24407.0,2.952355,3.3651,3.121406,3.369199,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,0,0,0,1,0
out.wikipedia_link_sa,1dd,16,5.184168,3720051.0,112906.0,1.036855,1.178609,1.034421,1.204944,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,1,0,0,0,0,0,0,0,0,0,0
out.wikipedia_link_sa,crvc,16,5.898526,3720051.0,128464.0,1.003771,1.020052,1.016955,1.033641,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,1,0,0,0,0,0,0
out.wikipedia_link_sa,hdrf,16,2.744846,3720051.0,59780.0,1.320575,1.335831,1.360552,1.399771,21779.0,3720051.0,0.00784319,3.24562e+09,2.95103,0.990332,0.333044,2.95052,0.991995,0.332612,2.93474,0.993068,0.331023,5121.0,4877.0,1855.0,341.618,170.809,170.809,2.97718,0.916331,0.305446,1.0559e+09,1723090.0,145447.0,1.04966,1.80348,0.759986,1.0,0.276685,0.975988,1989313.0,0.276685,1.0,False,realworld-wiki,connect-hyperlink,0,0,0,0,0,0,1,0,0,0,0
